Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId
1704062760.0,BTCUSDT,SELL,42449.898322,0.02944647,0.4999998629767293,0.0,OPEN,227c1c4a
1704137340.0,BTCUSDT,BUY_SL,43307.55606769769,0.02944647,0.5101018602083112,-25.76509493916292,CLOSE,227c1c4a
1704137700.0,BTCUSDT,BUY,43360.480361999995,0.05750475,0.9973734332386878,0.0,OPEN,2004b998
1704157080.0,BTCUSDT,SELL_TP,45085.880596564704,0.05750475,1.0370609168941218,98.18164822169086,CLOSE,2004b998
1704158760.0,BTCUSDT,BUY,45049.648128,0.02794394,0.5035458657239777,0.0,OPEN,307446bb
1704282660.0,BTCUSDT,SELL_SL,44139.825434406914,0.02794394,0.49337625341981634,-25.917407013823425,CLOSE,307446bb
1704282960.0,BTCUSDT,SELL,43654.307392,0.01438073,0.2511123231765425,0.0,OPEN,df1e0585
1704283680.0,BTCUSDT,BUY_TP,41916.516723339264,0.01438073,0.24111604381553067,24.749582358714008,CLOSE,df1e0585
1704283860.0,BTCUSDT,SELL,41683.6616,0.03019467,0.5034497625614689,0.0,OPEN,d9ee9176
1704284640.0,BTCUSDT,BUY_SL,42525.8382989664,0.03019467,0.5136214615642607,-25.942868968544136,CLOSE,d9ee9176
1704284820.0,BTCUSDT,SELL,42029.752368,0.02986738,0.5021274341123824,0.0,OPEN,cab4bc7c
1704297240.0,BTCUSDT,BUY_SL,42878.92148484307,0.02986738,0.512272416791189,-25.874729113807554,CLOSE,cab4bc7c
1704297420.0,BTCUSDT,BUY,42899.678219999994,0.00729621,0.12520202449021847,0.0,OPEN,65e7fb9b
1704308160.0,BTCUSDT,SELL_SL,42033.276318668875,0.00729621,0.12267344440361401,-6.444123660914738,CLOSE,65e7fb9b
1704308340.0,BTCUSDT,SELL,42247.268856,0.00740403,0.12512001841115586,0.0,OPEN,4dda8fdf
1704336420.0,BTCUSDT,BUY_SL,43100.83267596662,0.00740403,0.12764794326313486,-6.447460073210595,CLOSE,4dda8fdf
1704336600.0,BTCUSDT,BUY,43052.598798,0.00726076,0.1250378348994266,0.0,OPEN,c2fefca5
1704402001.0,BTCUSDT,SELL_EOS,44160.466140000004,0.00726076,0.1282554184522666,7.915703463647689,CLOSE,c2fefca5
