Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId,MarkPrice,FillPrice
1704154500.0,BTCUSDT,BUY,44543.413896,0.028062510000000002,1.2499999978906389,0.0,OPEN,3edd19b7,44538.96,44543.413896
1704282900.0,BTCUSDT,SELL_SL,43648.180363518186,0.028062510000000002,1.2248774979330328,-26.347377455539217,CLOSE,3edd19b7,43652.545618079996,43648.180363518186
1704283200.0,BTCUSDT,SELL,43550.6445,0.028623,1.2465500975235,0.0,OPEN,d8c6380b,43555.0,43550.6445
1704283680.0,BTCUSDT,BUY_TP,41812.799581872,0.028623,1.1968077624319224,48.545527329145855,CLOSE,d8c6380b,41808.61872,41812.799581872
1704283860.0,BTCUSDT,SELL,41687.8308,0.015021920000000001,0.6262312592511361,0.0,OPEN,2005e978,41692.0,41687.8308
1704286380.0,BTCUSDT,BUY_SL,42525.8395747416,0.015021920000000001,0.6388197600246024,-13.227320533490886,CLOSE,2005e978,42521.587416,42525.8395747416
1704286800.0,BTCUSDT,BUY,42640.253598999996,0.01466608,0.6253653705032218,0.0,OPEN,f10e92c9,42635.99,42640.253598999996
1704395940.0,BTCUSDT,SELL_TP,44341.429156585706,0.01466608,0.6503149473248185,24.299261874271803,CLOSE,f10e92c9,44345.86374296,44341.429156585706
1704400680.0,BTCUSDT,BUY,44494.449,0.02817632,1.25368983324768,0.0,OPEN,f66ec593,44490.0,44494.449
1704402001.0,BTCUSDT,SELL_EOS,44164.88307,0.02817632,1.2444038781429025,-10.530358982920418,CLOSE,f66ec593,44169.3,44164.88307
