Timestamp,Symbol,Reason,Details,Meta
1704492420.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704492660.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704495840.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496020.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496080.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496140.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496200.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496260.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496320.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496380.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496440.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496500.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496560.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704496620.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704507240.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704519000.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704529620.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704529680.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704529740.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704529800.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704529980.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704550320.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704550680.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704550740.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704550800.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704550860.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704566580.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704566700.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704572100.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704588180.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704588360.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704588780.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704595680.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704595740.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633180.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633600.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633660.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633720.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633780.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633840.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633900.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704633960.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634020.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634080.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634140.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634200.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634260.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634320.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634380.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634440.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634500.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634560.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634620.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634680.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634740.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634800.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634860.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634920.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704634980.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704635040.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704635100.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704635160.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704635340.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704641400.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704641460.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704641580.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704641640.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704641700.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704641760.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642360.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642420.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642480.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642540.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642600.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642660.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642720.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642780.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642840.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642900.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704642960.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704646500.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704646560.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704646620.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704646680.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
1704646740.0,BTCUSDT,Mode Block,Max Total DD Hit: 10.3%,
