Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId,MarkPrice,FillPrice
1704154620.0,BTCUSDT,BUY,44659.274659999995,0.0279897,1.2499996999510017,0.0,OPEN,07a0a68e,44614.66,44659.274659999995
1704282900.0,BTCUSDT,SELL_SL,43722.3230776332,0.0279897,1.2237747062460298,-27.44876841121797,CLOSE,07a0a68e,43766.0891668,43722.3230776332
1704283200.0,BTCUSDT,SELL,43511.445,0.02864562,1.2464123191209,0.0,OPEN,19482d15,43555.0,43511.445
1704283680.0,BTCUSDT,BUY_TP,41812.758187199994,0.02864562,1.19775238218242,47.462184556297686,CLOSE,19482d15,41770.987199999996,41812.758187199994
1704283860.0,BTCUSDT,SELL,41650.308,0.015032170000000001,0.62609451040836,0.0,OPEN,1fa52eaf,41692.0,41650.308
1704284640.0,BTCUSDT,BUY_SL,42525.79747415999,0.015032170000000001,0.6392550170171436,-13.799761625800764,CLOSE,1fa52eaf,42483.314159999994,42525.79747415999
1704284820.0,BTCUSDT,SELL,41996.12184000001,0.02977385,1.2503862322458843,0.0,OPEN,96057b73,42038.16,41996.12184000001
1704297240.0,BTCUSDT,BUY_SL,42878.8803210768,0.02977385,1.2766693508476927,-27.559787952656023,CLOSE,96057b73,42836.04427680001,42878.8803210768
1704297900.0,BTCUSDT,BUY,43363.84051999999,0.01437586,0.6233925003778471,0.0,OPEN,8119c0e9,43320.52,43363.84051999999
1704308160.0,BTCUSDT,SELL_SL,42454.06714589039,0.01437586,0.6103137257199198,-13.68908838364718,CLOSE,8119c0e9,42496.56370959999,42454.06714589039
1704308340.0,BTCUSDT,SELL,42213.46428,0.01474643,0.6224978960625204,0.0,OPEN,717e2017,42255.72,42213.46428
1704336360.0,BTCUSDT,BUY_SL,43100.7912991656,0.01474643,0.6355828018377546,-13.720488577071896,CLOSE,717e2017,43057.7335656,43100.7912991656
1704382200.0,BTCUSDT,BUY,44308.274009999994,0.01402901,0.62160121916903,0.0,OPEN,b4feab6f,44264.01,44308.274009999994
1704402001.0,BTCUSDT,SELL_EOS,44125.1307,0.01402901,0.619031899841607,-3.1883512272645977,CLOSE,b4feab6f,44169.3,44125.1307
