Timestamp,Symbol,Side,Price,Qty,Comm,PnL,Event,PositionId
1704063120.0,BTCUSDT,SELL,42105.38247,0.02968741,1.2499997525937026,0.0,OPEN,c8ec4a23
1704132180.0,BTCUSDT,BUY_SL,42990.437609519395,0.02968741,1.2762747473932223,-27.551269546912792,CLOSE,c8ec4a23
1704137700.0,BTCUSDT,BUY,43395.16180999999,0.028722090000000002,1.246399743071383,0.0,OPEN,6b68b17b
1704157140.0,BTCUSDT,SELL_TP,45085.83731411759,0.028722090000000002,1.2949594770614439,47.264774512999644,CLOSE,6b68b17b
1704157440.0,BTCUSDT,BUY,45173.11798999999,0.00692974,0.3130379626600226,0.0,OPEN,2f7af8a8
1704282600.0,BTCUSDT,SELL_SL,44225.385974569785,0.00692974,0.30647042620341525,-6.874006882810738,CLOSE,2f7af8a8
1704284400.0,BTCUSDT,SELL,41979.08889,0.01490329,0.6256265356634481,0.0,OPEN,a4c64407
1704286800.0,BTCUSDT,BUY_SL,42861.48933846779,0.01490329,0.6387772054430937,-13.789446985088674,CLOSE,a4c64407
1704297900.0,BTCUSDT,BUY,43363.84051999999,0.0144066,0.624725504835432,0.0,OPEN,5253fb6c
1704308160.0,BTCUSDT,SELL_SL,42454.06714589039,0.0144066,0.6116187637439845,-13.718359855191373,CLOSE,5253fb6c
1704310560.0,BTCUSDT,BUY,42891.34849999999,0.01454441,0.623829358036885,0.0,OPEN,0791836e
1704400680.0,BTCUSDT,SELL_TP,44562.39543755999,0.01454441,0.6481337498260019,23.656258039291046,CLOSE,0791836e
1704400860.0,BTCUSDT,BUY,44424.41002999999,0.01407489,0.6252686844871466,0.0,OPEN,7860c7ef
1704402001.0,BTCUSDT,SELL_EOS,44125.1307,0.01407489,0.6210563608381231,-4.833380009861687,CLOSE,7860c7ef
